query_id	page_id	page_title	score	daily_pvs
123	164100	Harriet Beecher Stowe	3	1011
112	172293	An American Family	2	204
55	181633	Citadel Hill (Fort George)	1	146
25	303369	Paul Creston	1.3333	31
76	4145420	Brotizolam	1	104
52	32186638	Flip-flop (electronics)	1	1836
78	5644559	List of Colombian flags	0.75	19
98	3612945	World Naked Bike Ride	1	535
102	11256082	Saving Private Ryan (soundtrack)	1.5	47
40	3655043	English College Dubai	0.5	14
22	10279253	Bernardino López de Carvajal	2.5	3
12	147735	Toothpaste	0	681
90	33800472	Jagannath Temple, Mohanpur	0.5	5
128	8474	Arthur Wellesley, 1st Duke of Wellington	0	1889
127	20128027	Lewis Wetzel Wildlife Management Area	1.5	8
52	10854684	Karnaugh map	1	660
92	2179359	List of Nintendo DS Wi-Fi Connection games	1	45
14	14754080	Lists of aircraft operators by aircraft type	1.5	12
113	17752353	Last Orgy of the Third Reich	3	65
83	57634	Carl Orff	0.5	359
9	49444	Racial quota	0	143
24	17260839	Micky Modelle	1	10
85	10633515	Synchronized (album)	1	4
102	948515	Normandy American Cemetery and Memorial	1.5	374
108	1011002	Chuck Howley	2.5	147
123	11329840	Uncle Tom's Cabin (disambiguation)	3	14
101	868657	The Thumb	1.5	93
90	49057834	Jagannath Temple, Thalassery	0.5	6
90	35299640	Vimala Temple	1	46
76	4010036	Medazepam	1	65
13	8506	DirectX	1.5	1038
113	164155	Video nasty	1.6667	418
34	13058364	Otto Heubner	0.5	3
131	1997324	Walton-le-Dale	0	21
30	11059521	List of Guns N' Roses members	1.5	812
100	8495428	Bangla Bangers	0	35
44	46342469	NA	0.5	8
111	5652807	The Bitter End (song)	2	24
25	5882184	C-Bus (protocol)	0.6667	64
103	1605961	Prison education	1.6667	81
110	1868108	Celtuce	1	101
126	47524578	NA	0	4
79	11256142	St. Andrews Heights, Calgary	0	6
53	12878160	LGBT rights in Papua New Guinea	0	33
68	10985528	NA	0	1
125	339	Ayn Rand	0	3851
120	18153813	Courtney Lee	0	175
23	9732438	Internal control	1.25	507
122	483672	Land trust	2.5	141
127	2638169	West Virginia Route 2	0.5	31
55	22136207	National Historic Sites in Nova Scotia	1.3333	3
73	31809885	NA	0.5	3
13	38764894	FoolishPeople	0	6
30	967007	Chinese Democracy	1	780
56	65888	Electromagnetic induction	1	1459
93	3039587	NA	3	2
98	188773	Mountain biking	2	481
27	1081702	Luberon	1	100
99	2883943	The Plugz	0.5	39
106	38543721	Ideology of the SS	2.5	90
61	27575324	Kyrgyz parliamentary election, 2010	2	17
79	4931954	North Heights	0.5	6
100	868723	SWAT Kats: The Radical Squadron	0	297
84	46658	Parsley, Sage, Rosemary and Thyme	1	311
44	31825982	Baden Revolution	1	20
39	8761514	1400–1500 in European fashion	2.5	251
92	3849792	Green Legend Ran	0	20
125	82299	List of automotive fuel brands	0	188
23	491900	Control	2.5	154
35	4965781	NA	2	2
133	604226	Octave of Easter	0	52
89	2097542	Bill 86	1.5	4
54	9833	Eureka Rebellion	1.5	555
61	22725000	Chinese people in Kyrgyzstan	0.5	11
4	4931977	1974 FIFA World Cup squads	0	200
27	7152010	French battleship Provence	1	44
92	1384843	Akira Sasanuma	1	21
11	40001934	Star Wars: The Old Republic: Annihilation	0.5	18
86	57744	Ivory Coast	0	2656
12	18842002	Shampoo	0	743
33	3414766	Live in Australia with the Melbourne Symphony Orchestra	1	74
21	40771990	Ismael Gonzalez (fighter)	1	5
39	4104602	1795–1820 in Western fashion	2.5	273
40	7674607	Interchange fee	2.5	248
23	17760670	European Orienteering Championships	0	10
3	1057183	10 mm caliber	0.5	125
39	197025	Paisley (design)	2	682
47	2900386	Bruno Heller	2	154
131	66971	Shepton Mallet	0	112
65	42615204	List of Call the Midwife episodes	0	1152
6	12746283	Neolithic Subpluvial	1.5	59
43	2322076	George C. Wolfe	0	172
124	13230505	List of countries by number of Internet users	0	822
124	8879085	Mobile broadband	0	271
3	49193388	Adhai Din Ka Jhonpra	1	178
97	532909	Anaspidea	1	73
63	18776495	Jupiter Dolichenus	0.3333	20
118	2843056	Genji: Dawn of the Samurai	0.5	94
131	40812616	Bakırcı Ahmed Pasha	0.5	5
8	18375090	List of In Treatment episodes	0	48
115	38576563	No Fire Zone	1	16
110	418228	Nopal	0.5	361
116	18039222	NA	0	2
94	1081783	Leave Home	1.5	243
95	18981304	Rang Rasiya	1.5	420
87	49593	Candiru	1	689
44	336315	Hessian (soldier)	0	510
35	4145596	Cultural environmentalism	2	82
109	7184835	Starsky & Hutch (video game)	1	50
133	12108230	Superman in film	0	1061
21	12108230	Superman in film	0	1061
33	1409480	Greatest Hits (Elton John album)	2	80
71	7684553	Malaysia Airlines fleet	3	279
69	7684553	Malaysia Airlines fleet	2.5	279
104	18776523	Culture of the United States Marine Corps	1	129
36	7060	Chymotrypsin	0.3333	292
78	421737	Flags of the United States Armed Forces	1.25	166
18	5079506	Pink Floyd	0	8420
59	4604373	Lower Manhattan–Jamaica/JFK Transportation Project	0	16
78	549334	Flags of the Ottoman Empire	0.75	126
4	5251543	Willie Johnston	1.5	44
61	28156376	Index of Kyrgyzstan-related articles	0.5	8
24	22307289	Clubland Classix 2 – The Album of Your Life Is Back	0.75	9
114	6095325	Gilgamesh flood myth	0	403
26	1114590	List of nicknames of British Army regiments	0	95
108	3853051	Super Bowl XLVI	1.5	1120
109	459237	Starsky & Hutch	1	827
21	40796647	Ron Keslar	1	25
92	4137448	Konami Man	0.5	8
14	164329	Avro Lancaster	3	1323
43	57834	Frankfort, Kentucky	0.5	425
26	22648231	Ageism	0	415
124	8618477	List of broadband providers in the United States	0.3333	100
86	33263	Widescreen	1	305
21	20706728	Joe Duarte	1	14
18	2015315	Beauty and the Beast (musical)	3	510
119	1646259	Autopia	1	176
39	231594	Lover (clothing)	0.5	8
114	9994744	Horse Shoe Brewery	3	10
7	5967956	List of Seventh-day Adventists	1.5	136
121	42123775	True Detective (disambiguation)	3	13
43	2638336	NA	0.5	4
70	1892582	Sex (boutique)	2	99
44	320002	Philipp Scheidemann	1.5	131
59	1991172	John Fitzgerald Kennedy Memorial	1.25	62
10	3801605	Indian trade union stubs	0.5	2
78	1278471	War flag	1.25	458
111	46899721	Bittereinder (band)	0	6
44	5595658	Revolutionary Cells (German group)	1.5	81
114	40387083	Heady Topper	0	186
2	11002380	Good News (1947 film)	0.5	22
72	15958541	The Last Sitting	1.5	45
82	31384080	NA	1	3
27	15417874	NA	1	5
86	183043	Pictures at an Exhibition	0	488
6	7873885	History by period	1	448
52	10125847	NA	0.5	1
91	5653017	Wet chemistry	1	122
115	1025455	Killing vector field	2	64
4	34325621	NA	0	2
97	11021061	Polysiphonia	2	78
112	31113762	NA	0	4
82	16810531	Gustav Svensson	1	147
127	15503067	NA	1.5	2
23	42345000	Car controls	1.75	243
71	13426780	Languages of Malaysia	0	399
107	24772	Phase modulation	1	254
8	188509	Guttermouth	0	111
12	238129	Prostate massage	0	2078
114	41523	Bath, Somerset	0	1654
13	8758	Douglas Hofstadter	0	359
107	25144	Packet radio	2	107
59	1647163	JFK Express	0.5	47
22	10466328	NA	3	2
44	34587199	November 1918: A German Revolution	3	5
13	18457155	Singularity (video game)	0	178
84	703287	America (Simon & Garfunkel song)	1	181
16	5259845	Bantu peoples in South Africa	3	103
83	7995974	The Decameron (1971 film)	0	88
127	40271969	Cities in Wetzel County, West Virginia	1	2
107	574024	Hilbert transform	2	360
93	22823500	List of current WNBA team rosters	3	66
100	5136973	NA	0	2
68	827982	Lutheranism	1	8
107	41551	Phase-shift keying	0.5	701
3	23868856	Reynolds number	0.5	1906
115	29958740	Alive in the Killing Fields	2.5	21
129	10052182	List of vaudeville performers: A–K	0	109
64	600	Andorra	1.5	4764
124	16368217	List of countries by number of broadband Internet subscriptions	0.6667	178
92	14828122	Magician's Academy	0	60
18	45392475	Beauty & the Beast (season 3)	2	118
11	3162717	Spring Engine	0	51
97	21392989	Red algae	3	395
86	1458783	Pentose phosphate pathway	0	734
124	1950304	BT Broadband	0.6667	23
47	311905	Penguin (character)	0.5	436
101	33981026	NA	0	3
12	29017531	Cleanwell	1	6
65	46359140	The Bridge (Agents of S.H.I.E.L.D.)	0	20
8	40092261	Loitering with Intent (film)	2	36
8	12198502	Rent (albums)	0	33
102	11543143	Joerg Stadler	1	67
110	17001	Kohlrabi	0.5	1305
64	15344236	List of hospitals in Europe	0	3
11	46654061	Annihilation (film)	2.5	745
111	17006	Knot	1.5	409
53	1172080	Homosexual clergy in the Catholic Church	0	83
107	41064	Double-sideband suppressed-carrier transmission	2	261
99	164466	Earl Palmer	0.5	119
18	24380019	Be Our Guest Restaurant	1	57
114	98933	Great Yarmouth	0	411
103	189046	Community theatre	0	51
97	633	Algae	1.5	2074
78	11535807	Rising Sun Flag	1.5	737
124	3793532	Municipal broadband	0.3333	51
102	19194493	NA	0	1
33	5565205	Take Me to the Pilot	0	43
99	7267756	Bob Keane	1.5	73
55	18555522	Veith House	0.6667	4
19	49796	Brighton	1.5	1903
124	303749	Comcast	0	2606
12	148105	Scarification	0	391
59	4342412	John F. Kennedy High School (Cleveland, Ohio)	0.5	17
40	6414989	Muffakham Jah College of Engineering and Technology	0	44
77	1820099	Body Harvest	1	99
14	49812	Avro	1	272
8	17343125	Anne Rapp	0	6
33	1330655	Elton John songs	2	70
21	7813913	Tra Telligman	1	73
114	9151129	NA	2	2
21	23945882	Tuff TV	0	53
37	844444	Esperanza Aguirre	0	31
98	488682	Bicycle-sharing system	1.5	378
2	2319006	SpiderBabe	1	28
64	5573	Croatia	0	7425
49	1417888	Daniela Hantuchová	0.5	188
120	14841028	Curt Hawkins	1.5	596
130	40007110	List of Wii U games that use the Wii U Pro Controller	3	92
4	9347751	1978 European Cup Final	0	142
131	410281	Axbridge	0	31
89	41493162	Notary public (United States)	0	66
123	21734059	Uncle Robin, in His Cabin in Virginia, and Tom Without One in Boston	1.5	9
80	15573676	World Rugby Under 20 Championship	0	74
25	5563053	Dynalite	1	19
31	98991	Dogma (film)	0	1063
2	19325619	Midnight Movie (film)	0.5	28
68	248255	Evangelical Lutheran Church in America	0.5	396
16	9323190	Semi-Bantu	2.5	8
86	41659	Resolution	1.75	273
5	42558145	ATK (football club)	1	2185
31	689611	What Dreams May Come (film)	0	636
100	3482308	Sajjad Ali	0	898
92	21152454	GA Geijutsuka Art Design Class	0	30
31	484039	List of longest films	0	948
94	15188681	Ramones (Operation Ivy EP)	1.5	4
133	14774391	PTPRM	0.5	7
64	18670284	Winter Paralympic Games	0	60
106	358519	SS (disambiguation)	3	153
91	15947428	Quantitative methods in criminology	1.6667	28
17	12168852	Traffic Ramaswamy	0	63
73	25092819	NA	1	4
29	42115796	Funk ostentação	0	13
19	5412302	NA	0.5	2
118	21136086	The Tale of Genji (1951 film)	3	9
91	246074	Forecasting	1	727
90	47034490	Shri Jagannath Temple Act, 1955	2.5	7
106	3269342	SS Rotterdam	0	95
8	1008352	Anthony Rapp	1	847
78	189155	Flags of the Confederate States of America	0.5	17460
107	25316	Quadrature amplitude modulation	1.5	622
21	1852133	Bas Rutten	1	1080
57	49894	Kenneth Arrow	1	262
90	1336039	Puri	2.5	502
70	971377	Malcolm McLaren	1	1
2	1843946	2005 in home video	1	57
120	22831851	List of PWG World Tag Team Champions	2.5	81
99	31793900	Selena singles discography	0.5	41
120	1643986	Traveller (horse)	0	839
100	312046	Saab 9000	0	234
92	451311	List of Konami games	2	358
86	18072305	NA	0	1
29	4342515	List of defunct retailers of the United States	0.5	638
104	2581237	Semper Gumby	0.5	92
107	41488	Passband	1	124
98	3957496	Bicycle Race	0.5	239
81	21627641	Natural resources of India	0	396
64	713468	List of hospitals in Turkey	0	34
123	3007230	Onkel Toms Hütte (Berlin U-Bahn)	1.5	20
84	1364090	Richard Cory (song)	1	36
44	771	American Revolutionary War	0	6175
113	213765	Führer	0.3333	1278
122	99078	National Trust for Places of Historic Interest or Natural Beauty	0.5	441
106	2147080	SS Führungshauptamt	2	38
79	5956361	Clairville, Toronto	0	10
30	1327884	Guns N' Roses songs	1.5	5
40	18023183	Kilemi Mwiria	1	13
119	6456792	Festival of the Lion King	0	85
72	31974163	Marilyn Monroe's pink dress	2	24
58	418580	Särkänniemi	0.5	25
26	636377	List of English words of Yiddish origin	0.5	583
118	82713	Romain Gary	0	299
104	4612890	Chilades pandava	0	7
86	4432667	HiRISE	0.25	68
120	6963996	List of Never Mind the Buzzcocks episodes	0	167
106	1299930	21st Waffen Mountain Division of the SS Skanderbeg	1.5	106
26	13804320	Schmuck (pejorative)	0	344
107	41762	Reduced-carrier transmission	2	13
122	7422757	Beneficiary (trust)	2	73
18	172838	Tim Rice	1	512
132	33708849	Adam Bighill	0.5	213
65	42541865	List of The 100 episodes	0	4210
103	7154734	Revolution in the Classroom	1.3333	4
39	23715975	White Stuff Clothing	1	33
64	708464	List of hospitals in Austria	0	19
132	17198	Kariba Dam	0	142
68	25021801	Lutheran sacraments	0.5	77
58	164656	Jet aircraft	0	554
98	16760673	Seoul Forest	0	25
73	590643	Maria Mitchell	0	158
82	45430238	NA	1	3
130	32596792	List of Wii U software	2.5	442
12	74555	Acne	0	1625
80	25405	Rugby union	0	1507
80	25406	Rugby World Cup	0	1252
57	1409855	Information economics	2.25	96
112	49850760	Douglas Family Gold	1.5	26
81	2261829	Panzer Division Müncheberg	0	26
105	24851	Potato chip	0.5	869
40	26616649	Fees in proceedings before the European Patent Office	1.5	4
2	26714954	HWY: An American Pastoral	0.5	46
98	1062243	Bicycle culture	2.5	43
73	916850	St Mary's College, Durham	0	22
57	1409870	NA	0.3333	2
66	7734097	Delio Rossi	0	137
133	50759139	Derde Divisie	0	108
25	28050260	Hills Limited	1.3333	19
67	15401815	NA	1.5	2
128	856	Apple Inc.	0	11042
112	34816861	Star of the Family (TV variety show)	3	4
14	12477279	List of Avro Lancaster operators	3	13
114	13370208	London Beer Flood	3	108
76	1173539	First pass effect	2	497
4	6067803	List of Scotland international footballers	0.5	95
56	1491814	Electric stove	0.5	223
35	28304231	NA	1	3
73	82792	Susan Barrantes	0	120
97	1846076	Palmaria palmata	1.5	147
114	874	Ancient Egypt	0	4572
38	874	Ancient Egypt	1	4572
66	11715435	Social Democratic Party of Serbia	1.5	16
6	148332	30th century BC	3	136
92	6062957	Sol Bianca: The Legacy	0	17
122	27882984	Tracing in English law	2	18
3	20627	Micrometre	0.5	1299
54	1164148	Lambing Flat riots	1.5	51
54	469488	Victorian gold rush	1.5	224
12	43385718	Vi-Jon Laboratories	1	20
77	17130360	The World Is Not Enough (disambiguation)	1	15
86	9082	Dispute resolution	0	301
105	36692860	List of sauces	0	1380
46	32097149	2011–12 Utah Jazz season	1	17
57	44524415	Cyber-Insurance	1.6667	93
85	34620288	List of laser articles	0.3333	60
32	49210241	The Sound of Silence (Grey's Anatomy)	2.5	40
118	20161411	Honji suijaku	0	27
82	34312342	NA	0.5	4
42	40731526	Dallas–Fort Worth Film Critics Association Awards	2	2
108	1227585	Super Bowl XLI	1.5	1105
50	66440	Our Lady of Guadalupe	0	1198
113	18170761	Indonesian mass killings of 1965–1966	0	365
25	3810186	Beetham Tower, Manchester	0.6667	195
66	8373133	Bosniaks of Serbia	1	53
40	3851154	Sainik School, Ghorakhal	0.5	37
113	2286484	Love Camp 7	1.3333	95
44	33685	Weimar Republic	1	2990
30	4637590	Bob Dylan	0	7537
62	16802711	Wolferton railway station	0	18
73	697242	Niall Ferguson	0	971
78	500635	Maritime flag	2.75	243
42	4752284	NA	1	3
56	33693	Wok	0.5	464
130	32015262	Wii U games	1	33
78	37782431	List of Kazakh flags	0.75	16
116	418720	NA	0	2
52	33697	Manual of Style	0.5	1266
121	336808	Ace Ventura: Pet Detective	0.5	1230
59	320425	Single-bullet theory	1.25	404
129	6695751	NA	0	5
99	7435537	NA	1	1
5	50373549	2016 Indonesia Soccer Championship A	0.5	67
12	3138479	Grapefruit seed extract	0	121
124	2941872	United Online	1	39
103	2966451	Penal system of Japan	0.3333	58
104	14091188	USRC Ingham (1832)	0	4
53	3523509	LGBT rights in the United Kingdom	0	490
13	1827768	The Swallow's Tail	0	98
12	271860	Petroleum jelly	0	998
101	58300	List of counties in Michigan	1	261
59	959422	AirTrain JFK	0.5	306
32	36119487	NA	2.5	1
101	26379200	George Willis Pack	0	4
122	10165067	Australian trust law	2	35
67	32457668	Lurleen B. Wallace Community College	2	13
77	405665	Pilotwings 64	1	109
127	58312	List of counties in West Virginia	1.5	270
39	84812	Motley	1.5	87
127	7504843	7th West Virginia Volunteer Infantry Regiment	0.5	9
50	5596108	List of Caribbean folk music traditions	1.5	13
67	12567501	Lake Lurleen State Park	1.5	14
122	506701	Trustee	2	389
36	9593808	CTP synthetase	0.3333	20
10	44336081	Delhi Legislative Assembly election, 2015	1	222
17	5809108	Sethiathoppu	1	15
42	4752341	Dallas–Fort Worth Film Critics Association Awards 2001	2	2
38	24216534	Fesikh	2.6667	59
40	1491927	Common Entrance Test	1	96
79	5956568	Smithfield, Toronto	0	16
59	2319321	64th Academy Awards	0.25	221
33	39044058	Ben Lovett (British musician)	1	242
95	36570075	Murder 3	1.5	501
97	42613845	Sea6 Energy	1	12
129	39863263	Agent Hamilton: But Not If It Concerns Your Daughter	0	37
28	19220448	Video game controversies	0	342
103	295909	Zero tolerance	1.6667	176
92	28689382	My Little Pony: Friendship Is Magic	0	1950
46	33661928	NA	1	3
122	103932	List of National Trust properties in England	1	209
62	45188075	Listed buildings in Burnley	0	6
12	2950125	Purell	1	106
37	19607633	Esperanza (Esperanza Spalding album)	2.6667	39
7	3326960	Polity of the Seventh-day Adventist Church	1	24
78	2417649	Flag of the United States Navy	1.5	76
47	8127474	Arnold John Flass	0.5	57
100	26295450	Geet (TV series)	0	368
33	48382968	Wonderful Crazy Night Tour	0.5	49
102	1131513	NA	1.5	3
38	23631359	Dance in ancient Egypt	0	47
110	66556	Broccoli	0.5	1779
87	320509	Pine nut	0	978
125	43566078	Rand Paul presidential campaign, 2016	0	65
42	4752383	NA	1	3
102	861184	Sullivan brothers	0.5	637
107	3548161	Radio transmitter design	2	108
2	2278403	Babe (film)	3	2
10	24536069	Ammathottil	1	129
45	197638	Grand Slam (tennis)	0	1784
49	197638	Grand Slam (tennis)	2.5	1784
57	9223	Economics	0.6667	4283
49	200446	Mats Wilander	1	430
87	11592715	NA	0	1
46	20223490	Lazar Hayward	0	87
84	7332013	Mrs. Robinson	1	659
48	2565136	The Trump Organization	0	1491
64	3138578	List of hospitals in Albania	0	20
122	2431738	Asset-protection trust	2	84
132	20980760	Paul Crane	0.5	20
32	664601	Alfre Woodard	0.5	2423
62	3327002	Lantern Waste	0.5	20
118	467119	Edogawa Ranpo	0	131
53	37741596	History of gay men in the United States	3	119
61	338778	List of riots	1	365
25	1229855	Creston, British Columbia	1.3333	126
96	65712	Battle of Nanking	1	150
36	5464960	Enzyme inhibitor	1	517
59	1960795	Howard Beach–JFK Airport (IND Rockaway Line)	0	59
63	30491687	Ablative (Latin)	1	97
112	43238440	Aquarius (U.S. TV series)	0	803
2	967721	Summer School (1987 film)	1	247
124	295981	DOCSIS	0	777
94	4064310	Sheena Is a Punk Rocker	1.5	56
49	3933705	Grand Slam (rugby union)	0	60
7	3343419	Criticism of the Seventh-day Adventist Church	2	121
21	26256445	UFC Undisputed 2010	1	128
124	2778175	Be Un Limited	0.6667	27
91	523104	Managerial economics	1	667
90	29508675	Chhatia Bata	1	22
75	18564164	Mercedes-Benz	1.25	4705
22	48997445	NA	1	2
90	1738252	Jagannath Temple, Koraput	0.5	17
42	4752459	NA	1	3
119	438349	It's a Small World	0	494
17	23643214	Bombardment of Madras	0.5	68
31	12292280	Mr. Nobody (film)	0	1140
5	2262098	Cummins L Series engine	0	137
23	7011	Control engineering	1.5	447
41	30778452	Canon EOS 1100D	0	188
12	2122837	Ocimum tenuiflorum	0.5	1236
77	16613561	Nintendo 64 accessories	1	357
11	140376	Armenian Genocide	0.5	3822
30	2737242	List of fictional musical works	0	21
70	149007	Malcolm McLaren	3	562
43	27862108	Ralph Vaughn	0	4
125	31458397	United States v. Franklin	0	7
52	238686	Binary number	1.5	1807
108	174949	Super Bowl XXXVII	2	1607
79	2843744	Houston Heights	0	170
45	39904353	Career Grand Slam	2	10
41	705635	Air mass (astronomy)	0	42
86	9317	European Union	0	9065
59	1185823	John F. Kennedy Presidential Library and Museum	1	181
103	39101545	English Speaking Board	0.3333	7
65	3179626	Trapped in the Closet (South Park)	0	425
123	2453989	Uncle Tom's Bungalow	2	40
81	5293165	Courland Pocket	0	178
39	5452949	1970s in Western fashion	2.5	275
111	21709935	The Bitter End (short story)	2	4
105	31320936	List of cholesterol in foods	0	110
107	1140	Amplitude modulation	2	1103
16	15844469	Bantu expansion	1.5	2
19	277353	Pier	1	391
131	353400	Liskeard	0	72
7	13558905	Seventh-day Adventism in popular culture	2	24
97	29607034	Osmundea pinnatifida	1.5	5
40	14689404	Separately managed account	1.5	89
52	1557634	Propositional formula	2	74
133	19599735	Tay Zonday	0	240
65	6833284	List of Futurama episodes	0	1385
86	25734	Taiwan	0	9510
10	42525832	Trade unions in Andhra Pradesh	0.5	3
69	3286153	MASkargo	1.5	57
114	33948811	19th-century industrial disasters	1.6667	3
31	1082508	Roundhay Garden Scene	0	154
100	5088400	The Pothole	0	61
53	12080664	NA	2.5	3
69	549059	Kuala Lumpur Tower	0	323
37	17929761	Esperanza Spalding	3	1226
31	42190361	Exists (film)	0	121
